                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2903,                 3.1769,                 1.3387,                0.99632,                0.13434,                0.36845,                0.23955,                 1.1412,                 2.8955,                  1.482,              0.0033003,              0.0033003,              0.0033003
                      1,                  1.289,                 1.7539,                 1.3251,                0.87404,                0.54319,                0.67356,                  0.432,                 1.2883,                 1.4842,                 1.5405,              0.0066271,              0.0066271,              0.0066271
                      2,                 1.3155,                 1.5906,                 1.3435,                0.94163,                0.79508,                0.84722,                0.57729,                 1.2494,                 1.1572,                 1.5543,              0.0099473,              0.0099473,              0.0099473
                      3,                 1.3298,                 1.4039,                 1.3292,                0.91633,                 0.6711,                0.83202,                0.55068,                 1.3003,                 1.1579,                 1.5422,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.3081,                 1.2089,                  1.337,                0.93221,                0.66237,                0.81297,                0.46665,                 1.4707,                 1.0714,                 1.6721,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2728,                 1.0243,                 1.3141,                0.96683,                0.81387,                0.84797,                0.49855,                 1.4953,                0.88788,                 1.7464,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.2697,                0.92537,                 1.3076,                0.92906,                 0.8332,                0.91907,                0.59916,                 1.2459,                0.71343,                 1.4891,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.2391,                0.82539,                 1.2941,                0.94166,                0.83304,                0.84555,                0.57945,                  1.124,                0.60671,                 1.4068,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.2317,                0.77499,                 1.3034,                0.96072,                0.84881,                0.86435,                0.57486,                 1.2852,                0.65819,                 1.5158,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1974,                0.71802,                  1.287,                 0.9568,                0.84715,                 0.8656,                0.60258,                 1.1463,                0.58613,                 1.4326,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1744,                0.69238,                 1.2843,                0.94239,                 0.8004,                0.88098,                0.60591,                 1.1922,                0.65544,                 1.4505,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.1702,                0.65149,                 1.2676,                0.95073,                0.83408,                0.98648,                0.69918,                 1.1301,                0.53957,                 1.3869,               0.009901,               0.009901,               0.009901
                     12,                 1.1368,                0.63898,                 1.2672,                0.88783,                  0.819,                0.84668,                0.54704,                 1.3033,                0.63532,                 1.5248,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.1438,                0.61967,                 1.2746,                0.97579,                0.82197,                0.84898,                0.60584,                 1.0345,                 0.5428,                 1.3314,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.1094,                0.61163,                 1.2463,                0.96478,                0.84135,                0.86765,                0.64107,                0.99299,                0.50531,                 1.3089,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.1031,                0.58725,                 1.2511,                0.97711,                0.83882,                0.86731,                0.67656,                0.94915,                0.47972,                  1.275,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0905,                0.56926,                 1.2264,                 0.9655,                0.84636,                0.86698,                0.65543,                0.99348,                0.49676,                 1.2955,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.0776,                0.55304,                 1.2283,                0.96886,                0.83746,                0.87003,                0.66757,                 0.9723,                0.45485,                 1.2823,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.0731,                0.54478,                 1.2156,                0.97885,                0.83416,                0.87001,                0.64741,                0.94472,                0.47576,                 1.2757,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.0552,                0.55076,                 1.2202,                0.95976,                0.82364,                0.95605,                0.67052,                 1.2809,                0.58177,                 1.5234,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.0424,                0.53221,                 1.2094,                0.94651,                0.84833,                 0.9882,                0.80732,                0.77937,                0.43644,                 1.1451,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.0327,                0.52022,                  1.198,                0.95924,                0.84664,                 0.8715,                0.61649,                 1.2394,                0.46891,                  1.489,               0.009802,               0.009802,               0.009802
                     22,                 1.0239,                0.51572,                 1.2094,                0.94334,                0.80471,                0.98194,                0.70866,                 1.2255,                0.58825,                 1.4977,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.0148,                0.50641,                 1.1814,                0.97419,                0.84361,                0.99119,                0.60357,                 1.5313,                0.53596,                  1.777,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.0184,                0.51908,                 1.1969,                 0.7878,                0.85478,                0.85127,                0.64633,                0.80094,                0.41979,                 1.1583,              0.0097723,              0.0097723,              0.0097723
                     25,                0.98706,                0.49651,                 1.1783,                0.94518,                0.83228,                0.88624,                0.71198,                 0.7762,                0.43656,                 1.1362,              0.0097624,              0.0097624,              0.0097624
                     26,                0.99268,                0.49994,                 1.1836,                0.98026,                0.84138,                0.91203,                0.73375,                0.83904,                0.42475,                 1.1719,              0.0097525,              0.0097525,              0.0097525
                     27,                0.97372,                0.48482,                 1.1769,                0.82586,                0.96931,                  0.915,                0.73341,                0.85385,                0.41459,                 1.1836,              0.0097426,              0.0097426,              0.0097426
                     28,                0.98784,                0.48267,                 1.1779,                0.96772,                0.84103,                0.90264,                0.73389,                0.85232,                0.43029,                 1.1854,              0.0097327,              0.0097327,              0.0097327
                     29,                0.94536,                0.47013,                 1.1512,                0.98227,                0.82528,                 0.9142,                0.76188,                0.73639,                0.39685,                 1.1016,              0.0097228,              0.0097228,              0.0097228
                     30,                0.95973,                0.48165,                  1.178,                0.85104,                0.96354,                0.91596,                0.72841,                0.79089,                0.40836,                 1.1295,              0.0097129,              0.0097129,              0.0097129
                     31,                0.94847,                0.46424,                  1.164,                 0.8635,                0.97947,                0.92488,                0.77784,                0.68389,                0.36063,                 1.0762,               0.009703,               0.009703,               0.009703
                     32,                0.95638,                0.47288,                 1.1667,                0.82475,                0.96365,                0.98592,                0.84312,                0.67337,                0.39435,                 1.0705,              0.0096931,              0.0096931,              0.0096931
                     33,                0.93496,                0.45385,                 1.1523,                0.85561,                0.99457,                0.99256,                0.77914,                0.82826,                0.39063,                 1.1343,              0.0096832,              0.0096832,              0.0096832
                     34,                0.92696,                0.46254,                 1.1488,                0.78877,                0.97671,                0.91504,                0.75886,                 0.7677,                0.39611,                 1.1177,              0.0096733,              0.0096733,              0.0096733
                     35,                0.90758,                0.45689,                 1.1359,                0.80635,                0.96584,                 0.8971,                0.72724,                0.74897,                0.39022,                 1.1005,              0.0096634,              0.0096634,              0.0096634
                     36,                0.91686,                0.45081,                 1.1433,                0.97991,                0.85447,                0.92942,                0.77861,                0.71411,                0.35448,                 1.0668,              0.0096535,              0.0096535,              0.0096535
                     37,                0.90856,                0.44099,                 1.1431,                0.83908,                0.97081,                0.91422,                0.76791,                0.63546,                0.36397,                 1.0315,              0.0096436,              0.0096436,              0.0096436
                     38,                0.88884,                0.43559,                 1.1238,                0.95519,                0.84084,                 0.9065,                0.76532,                0.68442,                 0.3618,                 1.0634,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.8761,                0.43077,                 1.1206,                0.82507,                0.97671,                0.97558,                0.84753,                 0.6422,                0.36325,                 1.0279,              0.0096238,              0.0096238,              0.0096238
                     40,                0.89201,                0.43216,                 1.1394,                 0.8304,                 0.9802,                0.89558,                0.73388,                0.81881,                 0.4057,                  1.133,              0.0096139,              0.0096139,              0.0096139
                     41,                0.87729,                0.42901,                 1.1283,                0.83594,                 0.9802,                0.92214,                0.76883,                0.66205,                0.36914,                 1.0496,               0.009604,               0.009604,               0.009604
                     42,                0.86613,                 0.4308,                 1.1252,                0.98184,                0.81673,                0.86649,                0.74978,                0.64964,                0.38249,                  1.033,              0.0095941,              0.0095941,              0.0095941
                     43,                0.86498,                0.42502,                 1.1208,                0.97146,                0.84482,                 0.9015,                0.77871,                0.63552,                  0.355,                 1.0324,              0.0095842,              0.0095842,              0.0095842
                     44,                0.87373,                0.43689,                 1.1306,                0.85872,                0.95863,                0.88326,                0.76718,                 0.6369,                0.37209,                 1.0267,              0.0095743,              0.0095743,              0.0095743
                     45,                0.86024,                0.42516,                  1.117,                0.97526,                0.85276,                0.91858,                0.77771,                 0.7597,                0.35512,                 1.1094,              0.0095644,              0.0095644,              0.0095644
                     46,                0.86534,                0.42593,                 1.1191,                0.81507,                0.98214,                0.88308,                 0.7678,                  0.608,                0.34337,                 1.0131,              0.0095545,              0.0095545,              0.0095545
                     47,                0.85758,                0.41307,                 1.1229,                0.96943,                0.81942,                 0.9082,                0.81162,                0.56133,                0.34068,                0.98941,              0.0095446,              0.0095446,              0.0095446
                     48,                0.85229,                0.41836,                 1.1161,                0.96288,                0.83596,                0.97349,                 0.8561,                0.60139,                0.32012,                 1.0043,              0.0095347,              0.0095347,              0.0095347
                     49,                0.84687,                0.42428,                 1.1083,                0.84933,                 0.9791,                0.92197,                0.68203,                0.97202,                0.38146,                 1.2796,              0.0095248,              0.0095248,              0.0095248
                     50,                0.83415,                0.40399,                  1.096,                0.83926,                0.96535,                0.88831,                0.75456,                0.70998,                  0.345,                 1.0709,              0.0095149,              0.0095149,              0.0095149
                     51,                0.84342,                0.41229,                 1.1032,                0.82652,                0.97671,                0.97756,                0.86598,                0.60089,                0.32282,                 1.0082,               0.009505,               0.009505,               0.009505
                     52,                0.83287,                0.40641,                  1.099,                0.98265,                0.82923,                0.91132,                0.79416,                0.58332,                0.34058,                 0.9846,              0.0094951,              0.0094951,              0.0094951
                     53,                0.81819,                0.40142,                 1.0905,                0.83745,                0.97002,                0.89248,                0.77735,                0.65259,                0.33513,                 1.0356,              0.0094852,              0.0094852,              0.0094852
                     54,                0.81484,                0.39101,                 1.0928,                0.85311,                0.96805,                0.97683,                 0.8473,                0.61908,                0.36365,                 1.0204,              0.0094753,              0.0094753,              0.0094753
                     55,                0.80971,                0.40616,                  1.097,                0.86402,                0.98405,                0.92647,                0.83792,                0.53894,                0.30299,                0.96435,              0.0094654,              0.0094654,              0.0094654
                     56,                0.79863,                0.39766,                 1.0841,                0.86467,                0.98043,                0.92538,                0.81777,                 0.4945,                0.29108,                0.94621,              0.0094555,              0.0094555,              0.0094555
                     57,                 0.7994,                0.39598,                 1.0782,                0.83479,                0.97967,                0.98937,                0.84215,                0.55667,                0.32561,                0.97182,              0.0094456,              0.0094456,              0.0094456
                     58,                0.80359,                0.39045,                 1.0921,                0.78796,                 0.9604,                0.87437,                0.77372,                0.49579,                0.33191,                0.94206,              0.0094357,              0.0094357,              0.0094357
                     59,                0.80772,                0.39175,                 1.0962,                0.84124,                0.98895,                0.89135,                0.75347,                0.67715,                0.31978,                 1.0727,              0.0094258,              0.0094258,              0.0094258
                     60,                0.80155,                0.39117,                 1.0866,                0.90661,                0.92925,                0.98218,                0.89113,                0.45849,                 0.2852,                0.92967,              0.0094159,              0.0094159,              0.0094159
                     61,                0.79124,                0.39567,                 1.0753,                0.82601,                 0.9604,                0.91149,                0.82594,                0.51045,                0.33274,                0.94103,               0.009406,               0.009406,               0.009406
                     62,                0.77994,                0.38548,                  1.079,                 0.8506,                0.97711,                0.89986,                0.79789,                0.56998,                 0.3278,                 0.9807,              0.0093961,              0.0093961,              0.0093961
                     63,                0.79782,                0.38471,                 1.0866,                0.82633,                0.97961,                0.89029,                0.79651,                0.57803,                0.33091,                0.99214,              0.0093862,              0.0093862,              0.0093862
                     64,                0.80057,                0.38918,                 1.0935,                0.85385,                0.97393,                0.99117,                0.88876,                 0.4937,                0.28876,                0.93661,              0.0093763,              0.0093763,              0.0093763
                     65,                0.78486,                 0.3841,                 1.0711,                0.80181,                0.99395,                 0.9058,                0.77058,                0.66998,                0.34221,                 1.0481,              0.0093664,              0.0093664,              0.0093664
                     66,                0.77659,                0.38295,                 1.0702,                   0.92,                0.97996,                0.99165,                0.88777,                0.55135,                0.30327,                0.96217,              0.0093565,              0.0093565,              0.0093565
                     67,                0.78551,                0.38771,                 1.0751,                0.87753,                0.97466,                0.91911,                0.82253,                0.51415,                0.31192,                0.94398,              0.0093466,              0.0093466,              0.0093466
                     68,                0.77374,                0.37412,                 1.0712,                0.94252,                0.98192,                0.99357,                0.88487,                0.58303,                0.30875,                0.97656,              0.0093367,              0.0093367,              0.0093367
                     69,                0.77328,                0.36861,                 1.0695,                0.94443,                0.98109,                0.99439,                0.90088,                0.52794,                0.31702,                0.95187,              0.0093268,              0.0093268,              0.0093268
                     70,                 0.7646,                 0.3852,                 1.0596,                0.86924,                0.98064,                0.93021,                0.83618,                0.49209,                0.30133,                0.93333,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.7714,                0.37875,                 1.0824,                0.87245,                0.96702,                0.90403,                0.81239,                0.46988,                0.28681,                0.92059,               0.009307,               0.009307,               0.009307
                     72,                0.77192,                0.37811,                 1.0738,                 0.8748,                0.97848,                0.90597,                 0.8314,                0.47352,                0.28576,                0.92945,              0.0092971,              0.0092971,              0.0092971
                     73,                0.75923,                0.37291,                 1.0618,                0.86758,                0.98205,                0.90925,                0.81942,                0.51617,                0.28189,                 0.9558,              0.0092872,              0.0092872,              0.0092872
                     74,                0.75785,                0.37763,                 1.0674,                0.93641,                0.91969,                0.97853,                0.85948,                0.53727,                0.33203,                0.95831,              0.0092773,              0.0092773,              0.0092773
                     75,                0.76451,                0.38093,                 1.0712,                0.82765,                0.97127,                0.97295,                0.87305,                0.53826,                0.32922,                0.97472,              0.0092674,              0.0092674,              0.0092674
                     76,                0.76808,                0.37461,                 1.0729,                0.90034,                0.96808,                0.91947,                0.82379,                0.49981,                0.32011,                0.94182,              0.0092575,              0.0092575,              0.0092575
                     77,                0.75601,                0.37009,                 1.0618,                0.97061,                0.95718,                0.98292,                0.89236,                0.61279,                0.33307,                0.99909,              0.0092476,              0.0092476,              0.0092476
                     78,                0.75549,                0.37013,                 1.0616,                0.89765,                0.97216,                0.91988,                0.83987,                0.47977,                0.29053,                0.92741,              0.0092377,              0.0092377,              0.0092377
                     79,                0.74886,                0.36763,                 1.0704,                0.91824,                0.95877,                0.91709,                0.81343,                0.58208,                0.35381,                0.98329,              0.0092278,              0.0092278,              0.0092278
                     80,                0.74097,                0.37272,                  1.055,                0.91937,                0.99066,                0.99367,                 0.8913,                0.54837,                0.28527,                0.96635,              0.0092179,              0.0092179,              0.0092179
